Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,idx_customer_c_address,135 MB,78 MB,57 MB,13 MB,300000
customer,idx_customer_c_name,135 MB,78 MB,57 MB,12 MB,300000
customer,customer_pkey,135 MB,78 MB,57 MB,6600 kB,300000
customer,c_acb,135 MB,78 MB,57 MB,6608 kB,300000
customer,idx_customer_c_comment,135 MB,78 MB,57 MB,29 MB,300000
customer,idx_customer_c_mktsegment,135 MB,78 MB,57 MB,2088 kB,300000
customer,idx_customer_c_phone,135 MB,78 MB,57 MB,9264 kB,300000
lineitem,lineitem_pkey,4159 MB,2400 MB,1758 MB,257 MB,11997996
lineitem,l_q,4159 MB,2400 MB,1758 MB,257 MB,11997996
lineitem,idx_lineitem_l_returnflag,4159 MB,2400 MB,1758 MB,79 MB,11997996
lineitem,l_disc,4159 MB,2400 MB,1758 MB,257 MB,11997996
lineitem,l_extp,4159 MB,2400 MB,1758 MB,343 MB,11997996
lineitem,idx_lineitem_l_linestatus,4159 MB,2400 MB,1758 MB,79 MB,11997996
lineitem,l_rd,4159 MB,2400 MB,1758 MB,80 MB,11997996
lineitem,l_cd,4159 MB,2400 MB,1758 MB,80 MB,11997996
lineitem,l_sd,4159 MB,2400 MB,1758 MB,80 MB,11997996
lineitem,idx_lineitem_l_comment,4159 MB,2400 MB,1758 MB,465 MB,11997996
lineitem,idx_lineitem_l_shipmode,4159 MB,2400 MB,1758 MB,81 MB,11997996
lineitem,idx_lineitem_l_shipinstruct,4159 MB,2400 MB,1758 MB,82 MB,11997996
lineitem,l_tax,4159 MB,2400 MB,1758 MB,257 MB,11997996
nation,idx_nation_n_name,56 kB,48 kB,8192 bytes,16 kB,25
nation,idx_nation_n_comment,56 kB,48 kB,8192 bytes,16 kB,25
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
orders,idx_orders_o_comment,853 MB,445 MB,408 MB,209 MB,3000000
orders,orders_pkey,853 MB,445 MB,408 MB,64 MB,3000000
orders,idx_orders_o_orderstatus,853 MB,445 MB,408 MB,20 MB,3000000
orders,idx_orders_o_orderpriority,853 MB,445 MB,408 MB,20 MB,3000000
orders,idx_orders_o_clerk,853 MB,445 MB,408 MB,21 MB,3000000
orders,o_od,853 MB,445 MB,408 MB,21 MB,3000000
orders,o_tp,853 MB,445 MB,408 MB,89 MB,3000000
part,part_pkey,126 MB,62 MB,64 MB,8792 kB,400000
part,idx_part_p_comment,126 MB,62 MB,64 MB,9832 kB,400000
part,idx_part_p_container,126 MB,62 MB,64 MB,2792 kB,400000
part,idx_part_p_type,126 MB,62 MB,64 MB,2864 kB,400000
part,idx_part_p_brand,126 MB,62 MB,64 MB,2792 kB,400000
part,idx_part_p_mfgr,126 MB,62 MB,64 MB,2832 kB,400000
part,idx_part_p_name,126 MB,62 MB,64 MB,21 MB,400000
part,p_rp,126 MB,62 MB,64 MB,8808 kB,400000
part,p_s,126 MB,62 MB,64 MB,2752 kB,400000
partsupp,idx_partsupp_ps_supplycost,603 MB,330 MB,274 MB,34 MB,1600000
partsupp,partsupp_pkey,603 MB,330 MB,274 MB,34 MB,1600000
partsupp,ps_avqt,603 MB,330 MB,274 MB,11 MB,1600000
partsupp,idx_partsupp_ps_comment,603 MB,330 MB,274 MB,250 MB,1600000
region,region_pkey,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_name,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_comment,56 kB,48 kB,8192 bytes,16 kB,5
supplier,idx_supplier_s_address,9056 kB,5248 kB,3776 kB,928 kB,20000
supplier,idx_supplier_s_name,9056 kB,5248 kB,3776 kB,984 kB,20000
supplier,s_actb,9056 kB,5248 kB,3776 kB,456 kB,20000
supplier,idx_supplier_s_comment,9056 kB,5248 kB,3776 kB,1792 kB,20000
supplier,supplier_pkey,9056 kB,5248 kB,3776 kB,456 kB,20000
supplier,idx_supplier_s_phone,9056 kB,5248 kB,3776 kB,632 kB,20000
(52 rows)
