Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,customer_pkey,72 MB,15 MB,57 MB,6600 kB,300000
customer,c_ck,72 MB,15 MB,57 MB,6600 kB,300000
customer,c_nk,72 MB,15 MB,57 MB,2064 kB,300000
lineitem,l_sk,2805 MB,1046 MB,1758 MB,81 MB,11997996
lineitem,l_ok,2805 MB,1046 MB,1758 MB,149 MB,11997996
lineitem,l_sd,2805 MB,1046 MB,1758 MB,80 MB,11997996
lineitem,l_pk_sk,2805 MB,1046 MB,1758 MB,116 MB,11997996
lineitem,lineitem_pkey,2805 MB,1046 MB,1758 MB,257 MB,11997996
lineitem,l_sk_pk,2805 MB,1046 MB,1758 MB,116 MB,11997996
lineitem,l_pk,2805 MB,1046 MB,1758 MB,86 MB,11997996
lineitem,l_rd,2805 MB,1046 MB,1758 MB,80 MB,11997996
lineitem,l_cd,2805 MB,1046 MB,1758 MB,80 MB,11997996
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_rk,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_nk,56 kB,48 kB,8192 bytes,16 kB,25
orders,o_ok,582 MB,173 MB,408 MB,64 MB,3000000
orders,o_od,582 MB,173 MB,408 MB,21 MB,3000000
orders,orders_pkey,582 MB,173 MB,408 MB,64 MB,3000000
orders,o_ck,582 MB,173 MB,408 MB,24 MB,3000000
part,p_pk,81 MB,17 MB,64 MB,8792 kB,400000
part,part_pkey,81 MB,17 MB,64 MB,8792 kB,400000
partsupp,ps_sk,406 MB,132 MB,274 MB,10 MB,1600000
partsupp,partsupp_pkey,406 MB,132 MB,274 MB,34 MB,1600000
partsupp,ps_pk,406 MB,132 MB,274 MB,19 MB,1600000
partsupp,ps_pk_sk,406 MB,132 MB,274 MB,34 MB,1600000
partsupp,ps_sk_pk,406 MB,132 MB,274 MB,34 MB,1600000
region,region_pkey,40 kB,32 kB,8192 bytes,16 kB,5
region,r_rk,40 kB,32 kB,8192 bytes,16 kB,5
supplier,s_nk,4880 kB,1072 kB,3776 kB,160 kB,20000
supplier,s_sk,4880 kB,1072 kB,3776 kB,456 kB,20000
supplier,supplier_pkey,4880 kB,1072 kB,3776 kB,456 kB,20000
(31 rows)
