Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,customer_pkey,78 MB,21 MB,57 MB,6600 kB,300000
customer,c_acb,78 MB,21 MB,57 MB,6608 kB,300000
customer,c_nk,78 MB,21 MB,57 MB,2064 kB,300000
customer,c_ck,78 MB,21 MB,57 MB,6600 kB,300000
lineitem,l_tax,3679 MB,1921 MB,1758 MB,257 MB,11997699
lineitem,lineitem_pkey,3679 MB,1921 MB,1758 MB,257 MB,11997699
lineitem,l_ok,3679 MB,1921 MB,1758 MB,149 MB,11997699
lineitem,l_pk,3679 MB,1921 MB,1758 MB,86 MB,11997699
lineitem,l_sk,3679 MB,1921 MB,1758 MB,81 MB,11997699
lineitem,l_pk_sk,3679 MB,1921 MB,1758 MB,116 MB,11997699
lineitem,l_sk_pk,3679 MB,1921 MB,1758 MB,116 MB,11997699
lineitem,l_q,3679 MB,1921 MB,1758 MB,257 MB,11997699
lineitem,l_extp,3679 MB,1921 MB,1758 MB,343 MB,11997699
lineitem,l_disc,3679 MB,1921 MB,1758 MB,257 MB,11997699
nation,n_rk,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_nk,56 kB,48 kB,8192 bytes,16 kB,25
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
orders,o_tp,650 MB,242 MB,408 MB,89 MB,3000000
orders,orders_pkey,650 MB,242 MB,408 MB,64 MB,3000000
orders,o_ok,650 MB,242 MB,408 MB,64 MB,3000000
orders,o_ck,650 MB,242 MB,408 MB,24 MB,3000000
part,p_rp,93 MB,28 MB,64 MB,8808 kB,400000
part,part_pkey,93 MB,28 MB,64 MB,8792 kB,400000
part,p_s,93 MB,28 MB,64 MB,2752 kB,400000
part,p_pk,93 MB,28 MB,64 MB,8792 kB,400000
partsupp,ps_pk,417 MB,143 MB,274 MB,19 MB,1600000
partsupp,ps_sk,417 MB,143 MB,274 MB,10 MB,1600000
partsupp,ps_pk_sk,417 MB,143 MB,274 MB,34 MB,1600000
partsupp,ps_sk_pk,417 MB,143 MB,274 MB,34 MB,1600000
partsupp,ps_avqt,417 MB,143 MB,274 MB,11 MB,1600000
partsupp,partsupp_pkey,417 MB,143 MB,274 MB,34 MB,1600000
region,r_rk,40 kB,32 kB,8192 bytes,16 kB,5
region,region_pkey,40 kB,32 kB,8192 bytes,16 kB,5
supplier,s_actb,5336 kB,1528 kB,3776 kB,456 kB,20000
supplier,supplier_pkey,5336 kB,1528 kB,3776 kB,456 kB,20000
supplier,s_sk,5336 kB,1528 kB,3776 kB,456 kB,20000
supplier,s_nk,5336 kB,1528 kB,3776 kB,160 kB,20000
(37 rows)
