Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,c_ck,143 MB,87 MB,57 MB,6600 kB,300000
customer,idx_customer_c_name,143 MB,87 MB,57 MB,12 MB,300000
customer,c_nk,143 MB,87 MB,57 MB,2064 kB,300000
customer,idx_customer_c_comment,143 MB,87 MB,57 MB,29 MB,300000
customer,idx_customer_c_mktsegment,143 MB,87 MB,57 MB,2088 kB,300000
customer,idx_customer_c_phone,143 MB,87 MB,57 MB,9264 kB,300000
customer,idx_customer_c_address,143 MB,87 MB,57 MB,13 MB,300000
customer,c_acb,143 MB,87 MB,57 MB,6608 kB,300000
customer,customer_pkey,143 MB,87 MB,57 MB,6600 kB,300000
lineitem,l_tax,4465 MB,2707 MB,1758 MB,257 MB,11997996
lineitem,l_extp,4465 MB,2707 MB,1758 MB,343 MB,11997996
lineitem,idx_lineitem_l_shipinstruct,4465 MB,2707 MB,1758 MB,82 MB,11997996
lineitem,l_q,4465 MB,2707 MB,1758 MB,257 MB,11997996
lineitem,lineitem_pkey,4465 MB,2707 MB,1758 MB,257 MB,11997996
lineitem,idx_lineitem_l_linestatus,4465 MB,2707 MB,1758 MB,79 MB,11997996
lineitem,idx_lineitem_l_returnflag,4465 MB,2707 MB,1758 MB,79 MB,11997996
lineitem,l_pk,4465 MB,2707 MB,1758 MB,86 MB,11997996
lineitem,l_sk,4465 MB,2707 MB,1758 MB,81 MB,11997996
lineitem,l_pk_sk,4465 MB,2707 MB,1758 MB,116 MB,11997996
lineitem,l_sk_pk,4465 MB,2707 MB,1758 MB,116 MB,11997996
lineitem,l_disc,4465 MB,2707 MB,1758 MB,257 MB,11997996
lineitem,idx_lineitem_l_comment,4465 MB,2707 MB,1758 MB,465 MB,11997996
lineitem,idx_lineitem_l_shipmode,4465 MB,2707 MB,1758 MB,81 MB,11997996
lineitem,l_ok,4465 MB,2707 MB,1758 MB,149 MB,11997996
nation,n_rk,88 kB,80 kB,8192 bytes,16 kB,25
nation,idx_nation_n_comment,88 kB,80 kB,8192 bytes,16 kB,25
nation,n_nk,88 kB,80 kB,8192 bytes,16 kB,25
nation,nation_pkey,88 kB,80 kB,8192 bytes,16 kB,25
nation,idx_nation_n_name,88 kB,80 kB,8192 bytes,16 kB,25
orders,idx_orders_o_orderstatus,921 MB,513 MB,408 MB,20 MB,3000000
orders,orders_pkey,921 MB,513 MB,408 MB,64 MB,3000000
orders,o_ok,921 MB,513 MB,408 MB,64 MB,3000000
orders,o_ck,921 MB,513 MB,408 MB,24 MB,3000000
orders,o_tp,921 MB,513 MB,408 MB,89 MB,3000000
orders,idx_orders_o_orderpriority,921 MB,513 MB,408 MB,20 MB,3000000
orders,idx_orders_o_clerk,921 MB,513 MB,408 MB,21 MB,3000000
orders,idx_orders_o_comment,921 MB,513 MB,408 MB,209 MB,3000000
part,p_pk,135 MB,70 MB,64 MB,8792 kB,400000
part,part_pkey,135 MB,70 MB,64 MB,8792 kB,400000
part,p_rp,135 MB,70 MB,64 MB,8808 kB,400000
part,p_s,135 MB,70 MB,64 MB,2752 kB,400000
part,idx_part_p_name,135 MB,70 MB,64 MB,21 MB,400000
part,idx_part_p_mfgr,135 MB,70 MB,64 MB,2832 kB,400000
part,idx_part_p_brand,135 MB,70 MB,64 MB,2792 kB,400000
part,idx_part_p_type,135 MB,70 MB,64 MB,2864 kB,400000
part,idx_part_p_container,135 MB,70 MB,64 MB,2792 kB,400000
part,idx_part_p_comment,135 MB,70 MB,64 MB,9832 kB,400000
partsupp,idx_partsupp_ps_comment,701 MB,428 MB,274 MB,250 MB,1600000
partsupp,ps_sk_pk,701 MB,428 MB,274 MB,34 MB,1600000
partsupp,idx_partsupp_ps_supplycost,701 MB,428 MB,274 MB,34 MB,1600000
partsupp,ps_pk_sk,701 MB,428 MB,274 MB,34 MB,1600000
partsupp,ps_sk,701 MB,428 MB,274 MB,10 MB,1600000
partsupp,ps_pk,701 MB,428 MB,274 MB,19 MB,1600000
partsupp,partsupp_pkey,701 MB,428 MB,274 MB,34 MB,1600000
partsupp,ps_avqt,701 MB,428 MB,274 MB,11 MB,1600000
region,idx_region_r_comment,72 kB,64 kB,8192 bytes,16 kB,5
region,region_pkey,72 kB,64 kB,8192 bytes,16 kB,5
region,idx_region_r_name,72 kB,64 kB,8192 bytes,16 kB,5
region,r_rk,72 kB,64 kB,8192 bytes,16 kB,5
supplier,s_actb,9672 kB,5864 kB,3776 kB,456 kB,20000
supplier,supplier_pkey,9672 kB,5864 kB,3776 kB,456 kB,20000
supplier,idx_supplier_s_phone,9672 kB,5864 kB,3776 kB,632 kB,20000
supplier,idx_supplier_s_comment,9672 kB,5864 kB,3776 kB,1792 kB,20000
supplier,idx_supplier_s_address,9672 kB,5864 kB,3776 kB,928 kB,20000
supplier,s_nk,9672 kB,5864 kB,3776 kB,160 kB,20000
supplier,s_sk,9672 kB,5864 kB,3776 kB,456 kB,20000
supplier,idx_supplier_s_name,9672 kB,5864 kB,3776 kB,984 kB,20000
(67 rows)
